First,Middle,Last,City,State,Washington,Page,
Nelson,W,Aldrich,Providence,RI,1727 Massachusetts ave,3,
Augustus,0,Bacon,Macon,Ga,18th st and Oregon ave,16,
Joseph,W,Bailey,Gainesville,Tex,Stoneleigh Court,2,
John,H,Bankhead,Fayette,Ala,Riggs House,I,
Albert,J,Beveridge,Indianapolis,Ind,1155 Sixteenth street,27,
William,E,Borah,Boise,Idaho,Stoneleigh Court,19,
Jonathan,jr,-,Bourne,Portland,Oreg,Stoneleigh Court,102
William,0,Bradley,Louisville,Ky,Congress Hall,37,
Frank,B,Brandegee,New London,Conn,1521 K street,-,
Frank,0,Briggs,Trenton,NJ,2204 R street,-,
Joseph,L,Bristow,Salina,Kans,2823 Thirteenth street,34,
Norris,-,Brown,Kearney,Nebr,The Portland,68,
Morgan,G,Bulkeley,Hartford,Conn,1701 Twenty-second st .,-,
Elmer,J,Burkett,Lincoln,Nebr,1816 Nineteenth street,Ee,
Henry,E,Burnham,Manchester,NH The Richmond,-,70,
Julius,C,II Burrows,Kalamazoo,Mich,1406 Massachusetts ave,52,
Theodore,E,Burton,Cleveland,Ohio,The Rochambeau,93,
Thomas,H,Carter,Helena,Mont,1528 Sixteenth street,67,
George,-,Chamberlain,1749 Q street,-,-,102,
Moses,E,Clapp,St Paul,Minn,1310 Euclid street,56,
Clarence,D,II Clark,Evanston,Wyo,The Burlington,137,
James,P,Clarke,Little Rock,Ark,-,4,
Alexander,S,Clay,Marietta,Ga,The Normandie,16,
W,Murray,Crane,Dalton,Mass,1915 Massachusetts ave,48,
Coe,-,Crawford,I,-,Huron, S Dak,eeea
Charles,A,Culberson,Dallas,Tex,The Connecticut,121,
Shelby,M,Cullom,Springfield,Ill,1413 Massachusetts ave,20,
Albert,B,Cummins,Des Moines,Iowa,1524 Eighteenth street,31,
Charles,-,Curtis,Topeka,Kans,2034 0 street,34,
John,W,Daniel,Lynchburg,Va,-,127,
Jeff,-,Davis,Little Rock,Ark,1312 Twenty-first street,4,
Chauncey,M,IlDepew,New York,NY,1775 N street,74,
Charles,-,Dick,Akron,Ohio,The Mendota,93,
William,P,Dillingham,Waterbury,Vt,The Cochran,126,
Joseph,M,Dixon,Missoula,Mont,1818 Nineteenth street,67,
Jonathan,P,Dolliver,Fort Dodge,Iowa,1415 Massachusetts aye,31,
Henry,A,IlduPont,1-Elkins,Stephen B,Winterthur, Del,
W,Va,Elkins,1711 Massachusetts ave,-,1626 K street,13132,
D,Upshaw,Fletcher,Jacksonville,Fla,1455 Massachusetts ave,14,
Frank,P,Mint,Los Angeles,Cal,2205 Massachusetts ave,6,
